gender_Wanita,job_Karyawan,job_Pelajar,job_Tidak Bekerja,job_Wiraswasta,phone_dur_4 - 6 jam,phone_dur_Kurang dari 4 jam,app_dur_Lebih dari 12 bulan,h_w_inc_Ya,education_Tidak,earning_Ya,age,height,weight,photo_quan,get_Ya
0,0,0,0,0,0,0,1,1,0,0,21,174,76,3,1
0,0,0,0,0,1,0,0,1,0,0,20,170,77,2,0
1,0,0,0,0,0,0,0,0,0,0,21,155,55,3,1
0,0,0,0,0,0,0,0,1,0,0,20,181,83,3,1
1,0,0,0,0,0,1,0,0,0,0,20,149,49,5,0
1,0,0,0,0,1,0,0,0,0,0,20,169,58,1,0
0,0,0,0,0,0,1,0,0,0,0,18,175,65,2,0
0,0,0,0,0,1,0,1,1,1,0,21,175,75,4,1
1,0,0,0,0,1,0,0,1,0,0,21,158,49,3,1
1,0,0,0,0,0,1,0,0,1,0,21,148,40,1,1
0,0,0,0,0,0,0,0,0,1,0,20,178,73,0,0
1,0,0,0,0,0,0,0,0,0,0,21,150,45,2,1
1,0,0,0,0,1,0,0,0,0,0,21,160,65,2,1
1,0,0,0,0,1,0,0,1,1,0,22,155,46,2,1
0,0,0,0,0,0,0,0,1,0,0,19,164,54,2,1
1,0,0,0,0,0,0,0,0,0,0,21,161,68,3,0
1,0,0,0,0,0,1,0,0,1,0,21,150,41,2,0
1,0,0,0,0,0,0,0,0,0,0,21,155,40,3,0
0,0,0,0,0,0,1,0,1,0,0,20,183,75,4,0
0,0,0,1,0,0,0,1,0,1,0,19,165.09009,57.306305,3,0
1,0,0,0,0,0,0,0,0,0,0,19,153,48,1,1
1,0,0,0,0,0,0,0,1,0,0,19,150,50,6,1
0,0,0,0,0,1,0,0,0,1,1,19,170,50,3,1
1,0,0,0,0,0,0,0,0,1,0,19,160,70,3,1
0,0,0,0,0,1,0,0,0,0,0,21,165,62,2,0
0,0,0,0,0,0,1,0,0,1,0,20,173,50,1,0
1,0,0,0,0,0,0,0,1,0,0,19,164,69,3,1
0,0,0,0,0,0,0,1,0,0,0,18,174,66,1,1
0,0,0,0,0,0,0,0,0,0,0,21,175,94,2,0
1,0,0,0,0,1,0,0,0,0,0,20,160,50,3,1
0,0,0,0,0,0,0,0,1,0,0,19,175,53,3,0
1,0,0,0,0,1,0,0,0,0,0,20,160,55,3,1
0,0,0,0,0,1,0,0,0,0,0,20,175,63,2,1
1,0,0,0,0,0,0,0,0,1,0,21,155,73,2,1
0,0,0,0,0,1,0,0,1,1,0,20,178,84,2,0
0,0,0,0,1,0,0,0,0,1,0,20,178,56,0,1
0,0,0,1,0,0,1,0,1,0,1,10,165.09009,57.306305,0,1
1,0,0,0,0,0,0,0,0,1,0,18,158,45,3,1
1,0,0,0,0,1,0,0,0,1,0,20,156,50,3,0
1,0,0,0,0,1,0,0,1,0,0,22,165,50,2,0
1,1,0,0,0,0,0,1,0,1,0,25,165,65,5,0
1,1,0,0,0,1,0,0,1,0,0,25,155,47,3,1
